TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688791804,1655.0,15979.0,800.0,0.0,0.0,800.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,1.0,14.0,12.8,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0
1688791805,1647.0,15979.0,1000.0,0.0,0.0,800.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,14.5,0.0,-1.0,-1.0
1688791806,1875.0,15969.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688791807,1875.0,15969.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,14.0,12.8,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0
1688791808,1689.0,15979.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,14.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688791809,1641.0,15983.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0
1688791810,1698.0,15979.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0
1688791811,1639.0,15983.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,15.0,12.8,31.0,0.0,0.0,7.0,0.0,-1.0,-1.0
1688791812,1872.0,15969.0,1200.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,14.5,12.8,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1688791813,1678.0,15979.0,1200.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,23.0,0.0,-1.0,-1.0
1688791814,1838.0,15969.0,1400.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0
1688791815,1636.0,15979.0,1400.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,14.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688791816,1864.0,15965.0,1400.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,15.0,12.8,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1688791817,1650.0,15979.0,1600.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1688791818,1661.0,15979.0,1600.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1688791819,1672.0,15979.0,1600.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,1.0,5.0,0.0,15.0,12.8,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1688791820,1639.0,15979.0,1800.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,1.0,5.0,0.0,14.5,12.8,31.0,0.0,0.0,16.5,0.0,-1.0,-1.0
1688791821,1681.0,15979.0,1800.0,0.0,0.0,1600.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0
1688791822,1650.0,15979.0,1800.0,0.0,0.0,1600.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688791823,1667.0,15979.0,2000.0,0.0,0.0,1600.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,15.0,12.8,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0
