TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688874301,1346.0,15917.0,12400.0,240.0,1400.0,12000.0,2030.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1688874302,1526.0,15913.0,12400.0,240.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,15.5,0.0,-1.0,-1.0
1688874303,1310.0,15922.0,12400.0,240.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0
1688874304,1498.0,15908.0,12400.0,290.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,23.0,1.0,-1.0,-1.0
1688874305,1315.0,15922.0,12400.0,290.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1688874306,1566.0,15908.0,12400.0,290.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0
1688874307,1332.0,15917.0,12400.0,270.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688874308,1523.0,15908.0,12400.0,270.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1688874309,1335.0,15917.0,12400.0,270.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,31.0,0.0,0.0,14.5,0.0,-1.0,-1.0
1688874310,1568.0,15908.0,12400.0,290.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0
