TIME,POWER,TEMP,PI_A_TEMP
0.8583333333333333,3.35172,27.138,2.0
0.875,3.3812999999999995,27.186999999999998,2.0
0.925,3.4700399999999996,27.323999999999998,2.0
0.9416666666666668,3.49248,27.368000000000002,2.0
0.9916666666666667,3.5740800000000004,27.538,2.0
1.0083333333333333,3.5954999999999995,27.581999999999997,2.0
1.0583333333333333,3.6801600000000003,27.728,2.0
1.075,3.71178,27.776,2.0
1.125,3.8025599999999997,27.921,2.0
1.1416666666666666,3.83112,27.979,2.0
1.1916666666666667,3.9147599999999994,28.168000000000003,2.0
1.2083333333333333,3.9453599999999995,28.261,2.0
1.2583333333333333,4.039199999999999,28.603,2.0
1.275,4.06878,28.753999999999998,2.0
1.325,4.15956,29.246,2.0
1.3416666666666668,4.18914,29.406999999999996,2.0
1.3916666666666666,4.27788,29.925,2.0
1.4083333333333332,4.308479999999999,30.101,2.0
1.4583333333333335,4.4002799999999995,30.662,2.0
1.475,4.430879999999999,30.861,2.0
1.525,4.522679999999999,31.431000000000004,2.0
1.5416666666666665,4.55328,31.611,2.0
1.5916666666666668,4.64508,32.236,2.0
1.6083333333333334,4.67772,32.458,2.0
1.6583333333333332,4.771559999999999,33.077999999999996,2.0
1.675,4.80114,33.273,2.0
1.725,4.88988,33.928000000000004,2.0
1.7416666666666665,4.9204799999999995,34.162,2.0
1.7916666666666665,5.01024,34.8,2.0
1.8083333333333333,5.040839999999999,35.02,2.0
1.8583333333333334,5.1367199999999995,35.687,2.0
1.875,5.14896,35.906,2.0
1.925,5.165279999999999,36.618,3.0
1.9416666666666667,5.16732,36.852,3.0
1.991666666666667,5.173439999999999,37.573,3.0
2.0083333333333333,5.1754799999999985,37.811,3.0
2.0583333333333336,5.179559999999999,38.519,3.0
2.075,5.179559999999999,38.772000000000006,3.0
2.125,5.1775199999999995,39.507000000000005,3.0
2.1416666666666666,5.1765,39.76,3.0
2.1916666666666664,5.173439999999999,40.524,3.0
2.2083333333333335,5.173439999999999,40.774,3.0
2.2583333333333333,5.16732,41.533,3.0
2.275,5.16732,41.786,3.0
2.325,5.16732,42.525,3.0
2.341666666666667,5.17038,42.788000000000004,3.0
2.3916666666666666,5.17548,43.567,3.0
2.408333333333333,5.17548,43.81100000000001,3.0
2.4583333333333335,5.1775199999999995,44.631,3.0
2.475,5.178539999999999,44.904,3.0
2.525,5.1816,45.725,3.0
2.5416666666666665,5.182620000000001,45.988,3.0
2.591666666666667,5.18568,46.818999999999996,3.0
2.608333333333333,5.186700000000001,47.101000000000006,3.0
2.658333333333333,5.193839999999999,47.92100000000001,3.0
2.675,5.197919999999999,48.203,3.0
2.725,5.19996,49.06000000000001,3.0
2.7416666666666667,5.19792,49.343,3.0
2.791666666666667,5.19792,50.201,3.0
2.808333333333333,5.2009799999999995,50.479,3.0
2.858333333333333,5.206079999999999,51.306000000000004,3.0
2.875,5.20506,51.535,3.0
2.925,5.204039999999999,52.198,3.0
2.941666666666667,5.206080000000001,52.397,3.0
2.9916666666666667,5.20812,52.919,3.0
3.0083333333333333,5.20914,53.09400000000001,3.0
3.058333333333333,5.21628,53.583,3.0
3.075,5.2173,53.75299999999999,3.0
3.125,5.21832,54.215,3.0
3.141666666666667,5.219340000000001,54.370999999999995,3.0
3.191666666666667,5.2224,54.834,3.0
3.208333333333333,5.22342,54.99,3.0
3.2583333333333333,5.226479999999999,55.42100000000001,3.0
3.275,5.225459999999999,55.553999999999995,3.0
3.325,5.2264800000000005,55.961999999999996,3.0
3.341666666666667,5.2264800000000005,56.113,3.0
3.391666666666667,5.22852,56.545,3.0
3.408333333333333,5.229539999999999,56.672,3.0
3.458333333333333,5.23464,57.074,3.0
3.475,5.235659999999999,57.22,3.0
3.525,5.23872,57.596,3.0
3.541666666666667,5.239739999999999,57.732,3.0
3.591666666666667,5.2428,58.111,3.0
3.608333333333333,5.2438199999999995,58.242,3.0
3.658333333333333,5.24484,58.602,3.0
3.675,5.24586,58.718999999999994,3.0
3.725,5.25504,59.071000000000005,3.0
3.7416666666666667,5.257079999999999,59.193000000000005,3.0
3.791666666666667,5.26524,59.543,3.0
3.808333333333333,5.26626,59.66,3.0
3.858333333333333,5.2693200000000004,60.01599999999999,3.0
3.875,5.27034,60.128,3.0
3.925,5.2734000000000005,60.474,3.0
3.941666666666667,5.27442,60.586000000000006,3.0
3.9916666666666667,5.277480000000001,60.952,3.0
4.008333333333333,5.27748,61.074,3.0
4.058333333333334,5.279519999999999,61.415,3.0
4.075,5.2805399999999985,61.537,3.0
4.125,5.2836,61.875,3.0
4.141666666666667,5.28462,61.99099999999999,3.0
4.191666666666666,5.287679999999999,62.313,3.0
4.208333333333333,5.288699999999999,62.42,3.0
4.258333333333333,5.291759999999999,62.742,3.0
4.275,5.292779999999999,62.849,3.0
4.325,5.29176,63.178000000000004,3.0
4.341666666666667,5.28972,63.29,3.0
4.391666666666667,5.28972,63.60099999999999,3.0
4.408333333333333,5.2907399999999996,63.698,3.0
4.458333333333333,5.291759999999999,63.998999999999995,4.0
4.475,5.291759999999999,64.101,4.0
4.525,5.2938,64.399,4.0
4.541666666666667,5.295839999999999,64.496,4.0
4.591666666666667,5.29788,64.777,4.0
4.608333333333333,5.297879999999999,64.87,4.0
4.658333333333333,5.299919999999999,65.166,4.0
4.675,5.30094,65.264,4.0
4.725,5.299919999999999,65.562,4.0
4.741666666666667,5.30094,65.65,4.0
4.791666666666667,5.3101199999999995,65.953,4.0
4.808333333333334,5.309099999999998,66.036,4.0
4.858333333333333,5.306039999999999,66.30499999999999,4.0
