TIME,POWER,TEMP
0.825,3.4185925423921084,43.605
0.8416666666666667,3.4788454910694093,43.73
0.8583333333333333,3.536228783942806,43.852
0.875,3.5934964704218224,43.959
0.8916666666666667,3.650574312954742,44.08599999999999
0.9083333333333333,3.7076773072721476,44.213
0.925,3.7646875011303957,44.335
0.9416666666666668,3.8216727255060463,44.457
0.9583333333333333,3.8785934348281845,44.589000000000006
0.975,3.9356929486446797,44.74
0.9916666666666667,3.9929069705617395,44.886
1.0083333333333333,4.050021173981488,45.032
1.025,4.107317694658447,45.18
1.0416666666666667,4.164327604132665,45.331
1.0583333333333333,4.221533688810191,45.492
1.075,4.2787071162436,45.638000000000005
1.0916666666666668,4.335857720234539,45.794000000000004
1.1083333333333334,4.392892540627611,45.95400000000001
1.125,4.45009669903692,46.105
1.1416666666666666,4.5070607391109965,46.27
1.1583333333333332,4.564310588217105,46.426
1.175,4.621609459976952,46.586000000000006
1.1916666666666667,4.678673158065886,46.742
1.2083333333333333,4.735958336506075,46.902
1.225,4.792980755469866,47.055
1.2416666666666667,4.850165732036466,47.216
1.2583333333333333,4.907488254856812,47.36299999999999
1.275,4.964705333680217,47.519
1.2916666666666665,5.022129822652394,47.68
1.3083333333333333,5.079312201197805,47.835
1.325,5.1365474599293774,47.995
1.3416666666666668,5.193810267672531,48.146
1.3583333333333334,5.251094566020478,48.306000000000004
1.375,5.308395335855758,48.461000000000006
1.3916666666666666,5.365692810641309,48.61600000000001
1.4083333333333332,5.422890508401142,48.776
1.425,5.479936164739914,48.946000000000005
1.4416666666666667,5.537263554178392,49.095
1.4583333333333335,5.594550828806696,49.251
1.475,5.652013669862486,49.402
1.4916666666666665,5.709278075071435,49.547999999999995
1.508333333333333,5.708875499851346,49.699
1.525,5.709556350174887,49.84
1.5416666666666665,5.710102032161447,49.955999999999996
1.5583333333333333,5.71148354199764,50.05799999999999
1.575,5.712493541955683,50.155
1.5916666666666668,5.713521206355216,50.257
1.6083333333333334,5.714065902575563,50.343999999999994
1.625,5.714909371912302,50.43
1.6416666666666666,5.715726558385786,50.518
1.6583333333333332,5.716541947019003,50.605
1.675,5.717244931833431,50.668
1.6916666666666667,5.7208345608145,50.760999999999996
1.7083333333333335,5.7249536747365655,50.839
1.725,5.7289646711734115,50.912
1.7416666666666665,5.729929554490363,50.98
1.758333333333333,5.727569900518855,51.043
1.775,5.725166784377682,51.11599999999999
1.7916666666666665,5.722841717798567,51.199
1.8083333333333333,5.723635467905649,51.272
1.825,5.723939861403985,51.336999999999996
1.8416666666666668,5.724708598210664,51.415
1.8583333333333334,5.725449056604776,51.48299999999999
1.875,5.725932379142241,51.541
1.8916666666666666,5.726687500436713,51.593999999999994
1.9083333333333332,5.727318904850112,51.659
1.925,5.727393245317536,51.727
1.9416666666666667,5.7280336422822185,51.785
1.9583333333333335,5.72876793753903,51.852999999999994
1.975,5.729526034169732,51.925999999999995
1.991666666666667,5.73016578715844,51.989
2.0083333333333333,5.730856589508517,52.056999999999995
2.025,5.731384263687437,52.13
2.0416666666666665,5.732029580170259,52.19299999999999
2.0583333333333336,5.732715861227116,52.25599999999999
2.075,5.733384522109671,52.315
2.091666666666667,5.734229026932407,52.373999999999995
2.1083333333333334,5.734927564337758,52.425
2.125,5.735634632267542,52.483999999999995
2.1416666666666666,5.736167419713366,52.532999999999994
2.158333333333333,5.736858679186067,52.602
2.175,5.737053303123088,52.660999999999994
2.1916666666666664,5.737471446138239,52.71
2.2083333333333335,5.737931730807893,52.769
2.225,5.738311296929018,52.827999999999996
2.2416666666666667,5.738990318407972,52.887
2.2583333333333333,5.739576077543763,52.93599999999999
2.275,5.740180764692586,52.98
2.2916666666666665,5.740652872694877,53.019
2.3083333333333336,5.741190054548827,53.06799999999999
2.325,5.741631441945441,53.108999999999995
2.341666666666667,5.7420429857897215,53.157999999999994
2.3583333333333334,5.742967940651942,53.192
2.375,5.743453120235995,53.255
2.3916666666666666,5.744077756520183,53.294000000000004
2.408333333333333,5.744581601712384,53.343
2.425,5.745045713377628,53.38399999999999
2.4416666666666664,5.74564642642845,53.428000000000004
2.4583333333333335,5.746173445833147,53.477
2.475,5.743830798450382,53.521
2.4916666666666667,5.741342572293508,53.574
2.5083333333333333,5.7386795069622405,53.62
2.525,5.738730273177251,53.659
2.5416666666666665,5.739073517772769,53.70799999999999
2.5583333333333336,5.7395423458029855,53.757
2.575,5.739976189543686,53.806
2.591666666666667,5.740605982204709,53.85
2.608333333333333,5.741272451532872,53.898999999999994
2.625,5.741974067917252,53.94299999999999
2.641666666666667,5.742607561763136,53.996
2.658333333333333,5.743068436128136,54.045
2.675,5.743453739737829,54.089000000000006
2.691666666666667,5.7436340990303485,54.131
2.708333333333333,5.744271587537652,54.174
2.725,5.744495481580396,54.213
2.7416666666666667,5.747365464992589,54.266000000000005
2.7583333333333333,5.751005054906991,54.3
2.775,5.754877950738335,54.335
2.791666666666667,5.755283846123141,54.372
2.808333333333333,5.755917432512859,54.402
2.825,5.756256184194448,54.440999999999995
2.841666666666667,5.756692974401915,54.48
2.858333333333333,5.757348540677908,54.52400000000001
2.875,5.75775767082579,54.578
2.891666666666667,5.758430810668275,54.615
2.908333333333333,5.7587924427077235,54.668
2.925,5.759154126575173,54.721000000000004
2.941666666666667,5.7595850088029,54.755
2.958333333333333,5.760039925887924,54.803000000000004
2.975,5.760448033868019,54.852
2.9916666666666667,5.760819957815808,54.891000000000005
3.0083333333333333,5.761239142599038,54.93899999999999
3.025,5.761667996252892,54.98299999999999
3.041666666666667,5.762045331358796,55.022
