TIME,POWER,TEMP
0.825,8.11256934438,35.945
0.8416666666666667,8.114162648268003,35.985
0.8583333333333333,8.115080137332,36.015
0.875,8.115488862287998,36.045
0.8916666666666667,8.117685590040002,36.075
0.9083333333333333,8.119407131951998,36.115
0.925,8.1197518398,36.145
0.9416666666666668,8.12071032,36.185
0.9583333333333333,8.121846462732,36.225
0.975,8.121296688840001,36.265
0.9916666666666667,8.12186371188,36.295
1.0083333333333333,8.124144463739999,36.335
1.025,8.123619120959999,36.375
1.0416666666666667,8.123783947728,36.405
1.0583333333333333,8.12560954302,36.435
1.075,8.125944548591999,36.465
1.0916666666666668,8.124251102592,36.495
1.1083333333333334,8.126201472887999,36.525
1.125,8.126546589276,36.555
1.1416666666666666,8.125603433699998,36.585
1.1583333333333332,8.127928254672,36.615
1.175,8.127407032932002,36.645
1.1916666666666667,8.126483941907999,36.675
1.2083333333333333,8.12784526554,36.705
1.225,8.130098896104,36.735
1.2416666666666667,8.129446101395999,36.765
1.2583333333333333,8.130384301668,36.795
1.275,8.130936795419998,36.825
1.2916666666666665,8.129835062724002,36.855
1.3083333333333333,8.131140095315999,36.885
1.325,8.131804208327999,36.91
1.3416666666666668,8.130015863495998,36.93
1.3583333333333334,8.131379953127999,36.96
1.375,8.132121967104,36.995
1.3916666666666666,8.130676722024,37.025
1.4083333333333332,8.131708128312,37.055
1.425,8.133589191359999,37.075
1.4416666666666667,8.131759517951998,37.105
1.4583333333333335,8.133946269720001,37.135
1.475,8.135706696204,37.165
1.4916666666666665,8.135295528348001,37.195
1.508333333333333,8.137508483736,37.225
1.525,8.139542766552,37.255
1.5416666666666665,8.137545583836001,37.285
1.5583333333333333,8.138066772672,37.305
1.575,8.140798650432,37.33
1.5916666666666668,8.141506578131999,37.36
1.6083333333333334,8.139073494816,37.39
1.625,8.140907388132002,37.42
1.6416666666666666,8.140350534732,37.45
1.6583333333333332,8.140107228564,37.48
1.675,8.14079441922,37.51
1.6916666666666667,8.141596794767999,37.54
1.7083333333333335,8.141768783316001,37.57
1.725,8.142807182243999,37.6
