TIME,POWER,TEMP,ATLAS_B_TEMP
7.008333333333334,8.312700000000001,28.675,13.0
7.025,8.310279999999999,28.685,13.0
7.075,8.305439999999999,28.715,13.0
7.091666666666666,8.305439999999999,28.725,13.0
7.141666666666667,8.30302,28.755,13.0
7.158333333333334,8.2522,28.77,13.0
7.208333333333334,8.254620000000001,28.81,13.0
7.225,8.259459999999999,28.825,13.0
7.275,8.26188,28.885,13.0
7.291666666666666,8.26672,28.905,13.0
7.341666666666666,8.31512,28.945,13.0
7.358333333333333,8.31754,28.955,13.0
7.408333333333334,8.356259999999999,28.985,13.0
7.425,8.35868,28.985,13.0
7.475,8.35868,28.985,13.0
7.491666666666666,8.31512,28.99,13.0
7.541666666666666,8.31512,29.01,13.0
7.558333333333334,8.2643,29.015,13.0
7.608333333333333,8.26672,29.015,13.0
7.625,8.26672,29.015,13.0
7.675,8.27398,29.015,13.0
7.691666666666666,8.2764,29.015,13.0
7.741666666666666,8.27882,29.015,13.0
7.758333333333334,8.28366,29.015,13.0
7.808333333333334,8.28608,29.055,13.0
7.825,8.28608,29.065,13.0
7.875,8.24252,29.085,13.0
7.891666666666667,8.2401,29.095,13.0
7.941666666666666,8.24252,29.105,13.0
7.958333333333334,8.24252,29.11,13.0
8.008333333333333,8.2401,29.14,13.0
8.025,8.23526,29.15,13.0
8.075,8.23526,29.18,13.0
8.091666666666667,8.2522,29.19,13.0
8.141666666666666,8.203800000000001,29.22,13.0
8.158333333333333,8.203800000000001,29.23,13.0
8.208333333333334,8.203800000000001,29.26,13.0
8.225,8.24494,29.27,13.0
8.275,8.24494,29.3,13.0
8.291666666666666,8.24978,29.31,13.0
8.341666666666667,8.24978,29.34,13.0
8.358333333333334,8.2522,29.35,13.0
8.408333333333333,8.2522,29.38,13.0
8.425,8.2522,29.39,13.0
8.475,8.2522,29.42,13.0
8.491666666666667,8.24978,29.43,13.0
8.541666666666666,8.24978,29.46,13.0
8.558333333333334,8.2522,29.47,13.0
8.608333333333334,8.24978,29.5,13.0
8.625,8.2522,29.51,13.0
8.675,8.24978,29.54,13.0
8.691666666666666,8.2522,29.55,13.0
8.741666666666667,8.24978,29.58,13.0
8.758333333333333,8.2522,29.59,13.0
8.808333333333334,8.213479999999999,29.62,13.0
8.825,8.21106,29.625,13.0
8.875,8.208639999999999,29.645,13.0
8.891666666666666,8.21106,29.65,13.0
8.941666666666666,8.21106,29.65,13.0
8.958333333333334,8.2643,29.65,13.0
9.008333333333333,8.298179999999999,29.67,13.0
9.025,8.298179999999999,29.68,13.0
9.075,8.25704,29.71,13.0
9.091666666666667,8.259459999999999,29.73,13.0
9.141666666666666,8.259459999999999,29.79,14.0
9.158333333333333,8.2764,29.805,14.0
