TIME,Main(mA),Main Voltage(V),FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1689538071,997.172521002572,5.483975,1800457088.0,0.936,49.1,2.0,1.0
1689538072,1004.3710496406568,5.483397959183673,1800457088.0,0.936,50.1,2.0,1.0
1689538073,989.4060070139208,5.48455,1800457088.0,0.936,48.7,2.0,1.0
1689538074,997.5176540514268,5.483911764705883,1800457088.0,0.936,48.7,2.0,1.0
1689538075,993.9098311418894,5.483688775510204,1800457088.0,0.936,50.6,2.0,1.0
1689538076,1001.3504896740016,5.48323,1800457088.0,0.936,50.1,2.0,1.0
1689538077,981.5422537256604,5.485320000000001,1800457088.0,0.936,51.1,2.0,1.0
1689538078,980.0763787850492,5.484173469387756,1800404352.0,0.936,52.1,2.0,1.0
1689538079,982.9849068132644,5.4834313725490205,1800457088.0,0.936,50.1,2.0,1.0
1689538080,997.6377098163164,5.482510000000001,1800404352.0,0.936,50.1,2.0,1.0
1689538081,978.5570581727244,5.484112244897959,1800404352.0,0.936,51.6,2.0,1.0
1689538082,990.7210124368638,5.4836800000000006,1800404352.0,0.936,51.1,2.0,1.0
1689538083,995.3428916581228,5.484073529411766,1800457088.0,0.936,51.6,2.0,1.0
1689538084,987.808090849603,5.48306,1800404352.0,0.936,52.1,2.0,1.0
1689538085,991.104935156586,5.4840561224489806,1800457088.0,0.936,50.6,2.0,1.0
1689538086,1008.7402294171052,5.482704999999998,1800457088.0,0.936,51.6,2.0,1.0
1689538087,988.3850921977928,5.483607843137257,1800457088.0,0.936,51.1,2.0,1.0
1689538088,1017.816901595408,5.482668367346939,1800404352.0,0.936,50.6,2.0,1.0
1689538089,1003.314937495931,5.483649999999999,1800457088.0,0.936,52.1,2.0,1.0
1689538090,967.8907185733276,5.4834450000000015,1800457088.0,0.936,51.8,2.0,1.0
1689538091,1001.1437804824948,5.482479591836735,1800457088.0,0.936,51.6,3.0,1.0
1689538092,1040.539400307633,5.482637254901962,1800404352.0,0.936,51.1,3.0,1.0
1689538093,1011.9380257365945,5.482790000000001,1800404352.0,0.936,52.1,3.0,1.0
1689538094,978.9723964313516,5.484612244897961,1800404352.0,0.936,52.1,3.0,1.0
1689538095,1003.89551208022,5.4831029411764725,1800457088.0,0.936,52.1,3.0,1.0
1689538096,1006.8176498976652,5.481840000000002,1800457088.0,0.936,52.5,3.0,1.0
1689538097,1012.2148240733816,5.48341836734694,1800457088.0,0.936,52.1,3.0,1.0
1689538098,1048.561474901086,5.481205882352942,1800457088.0,0.936,52.1,3.0,1.0
1689538099,990.105820896285,5.483445,1800457088.0,0.936,52.1,3.0,1.0
1689538100,1007.2182900512646,5.482755102040817,1800404352.0,0.936,51.6,3.0,1.0
1689538101,1022.9449297630972,5.481310000000002,1800457088.0,0.936,52.5,3.0,1.0
1689538102,1044.2919427102136,5.482520408163266,1800457088.0,0.936,53.0,3.0,1.0
1689538103,1066.0116672805168,5.484093137254901,1800457088.0,0.936,52.5,3.0,1.0
1689538104,1074.3742129546747,5.4823200000000005,1800404352.0,0.936,53.0,3.0,1.0
1689538105,997.0519939696773,5.483916666666666,1800457088.0,0.936,52.5,3.0,1.0
1689538106,1022.8510218562876,5.482668367346938,1800457088.0,0.936,52.5,3.0,1.0
1689538107,958.0455181501668,5.48549,1800457088.0,0.936,54.5,3.0,1.0
1689538108,1001.9407661706553,5.483784999999999,1800457088.0,0.936,53.5,3.0,1.0
1689538109,982.0094643349754,5.482729591836736,1800457088.0,0.936,54.0,3.0,1.0
1689538110,991.2269347722046,5.4839850000000006,1800404352.0,0.936,53.0,3.0,1.0
1689538111,962.8594755278192,5.483088235294117,1800404352.0,0.936,54.0,4.0,1.0
1689538112,987.0823075515992,5.484872448979592,1800430720.0,0.936,54.0,4.0,1.0
1689538113,985.7336275067418,5.483425,1800457088.0,0.936,54.0,4.0,1.0
1689538114,1011.443134108706,5.482475490196079,1800404352.0,0.936,54.0,4.0,1.0
1689538115,1049.278108164771,5.480673469387757,1800457088.0,0.936,54.5,4.0,1.0
1689538116,997.1226632033854,5.482840000000002,1800457088.0,0.936,53.5,4.0,1.0
1689538117,1019.461048249526,5.482764705882353,1800404352.0,0.936,54.0,4.0,1.0
1689538118,989.98387101439,5.484102040816329,1800457088.0,0.936,53.5,4.0,1.0
1689538119,995.4163418259446,5.4831650000000005,1800457088.0,0.936,54.0,4.0,1.0
1689538120,1013.635699945823,5.483455,1800404352.0,0.936,54.5,4.0,1.0
1689538121,977.5735329091544,5.484464285714285,1800457088.0,0.936,54.5,4.0,1.0
1689538122,1011.1275627570072,5.4837450980392175,1800404352.0,0.936,55.0,4.0,1.0
1689538123,997.6271667967214,5.4836800000000006,1800457088.0,0.936,55.5,4.0,1.0
1689538124,1016.2428143559736,5.481989795918367,1800404352.0,0.936,55.5,4.0,1.0
1689538125,1018.3853629647114,5.481859999999999,1800457088.0,0.936,54.0,4.0,1.0
1689538126,1052.8556124681195,5.481504901960784,1800457088.0,0.936,54.0,4.0,1.0
1689538127,996.6264863520624,5.483627551020409,1800457088.0,0.936,55.5,4.0,1.0
1689538128,981.7364069992866,5.48471,1800457088.0,0.936,54.5,4.0,1.0
1689538129,1004.1406783448086,5.483637254901959,1800457088.0,0.936,55.0,4.0,1.0
1689538130,1012.9312275448488,5.4815000000000005,1800457088.0,0.936,55.5,4.0,1.0
1689538131,1002.542261377458,5.483960000000001,1800457088.0,0.936,54.5,4.0,1.0
1689538132,1001.5460874448504,5.481175,1800404352.0,0.936,54.5,0.0,-1.0
1689538133,1033.0543629085355,5.480647959183674,1800430720.0,0.936,54.5,5.0,1.0
1689538134,1009.5870598707086,5.4835392156862754,1800457088.0,0.936,54.5,5.0,1.0
1689538135,976.2583957431862,5.485344999999999,1800404352.0,0.936,55.0,5.0,1.0
1689538136,993.0096829235208,5.484214285714287,1800457088.0,0.936,55.0,5.0,1.0
1689538137,978.2203943252914,5.48508,1800457088.0,0.936,55.5,5.0,1.0
1689538138,1035.6861889714069,5.48089705882353,1800457088.0,0.936,55.5,5.0,1.0
1689538139,1041.1934736874928,5.481464285714286,1800404352.0,0.936,55.5,5.0,1.0
1689538140,990.192132659606,5.483640000000001,1800457088.0,0.936,54.0,5.0,1.0
1689538141,992.0447142322228,5.48447549019608,1800457088.0,0.936,54.0,5.0,1.0
1689538142,994.5369557554662,5.484045918367346,1800404352.0,0.936,55.5,5.0,1.0
1689538143,1015.7830096414144,5.483620000000001,1800457088.0,0.936,56.0,5.0,1.0
1689538144,985.6269620753044,5.484960000000001,1800457088.0,0.936,55.5,5.0,1.0
1689538145,1024.277299307607,5.482426470588236,1800457088.0,0.936,55.0,5.0,1.0
1689538146,1007.0717112781686,5.483352040816327,1800457088.0,0.936,54.5,5.0,1.0
1689538147,1013.027676482027,5.482975,1800404352.0,0.936,55.5,5.0,1.0
1689538148,1007.7772601048858,5.48377,1800457088.0,0.936,56.0,5.0,1.0
1689538149,983.8483973374176,5.484494897959184,1800404352.0,0.936,56.0,5.0,1.0
1689538150,1037.4708310925744,5.481504901960784,1800457088.0,0.936,56.4,5.0,1.0
1689538151,1014.031233143362,5.482714285714285,1800457088.0,0.936,56.4,5.0,1.0
1689538152,941.5901126704982,5.484719999999999,1800457088.0,0.936,56.4,5.0,1.0
1689538153,996.0537766655484,5.484540000000001,1800457088.0,0.936,56.4,0.0,-1.0
1689538154,1024.416563942343,5.481808823529413,1800404352.0,0.936,56.0,6.0,1.0
1689538155,1039.3374131941491,5.483469387755103,1800457088.0,0.936,56.0,6.0,1.0
1689538156,1074.1658617745031,5.482385000000002,1800404352.0,0.936,55.5,6.0,1.0
1689538157,1049.8685167743888,5.484950980392155,1800457088.0,0.936,56.4,6.0,1.0
1689538158,1028.358182518479,5.482551020408163,1800457088.0,0.936,56.9,6.0,1.0
1689538159,1028.2161594400031,5.481405,1800404352.0,0.936,56.9,6.0,1.0
1689538160,999.33617059881,5.483475000000001,1800457088.0,0.936,56.4,6.0,1.0
1689538161,997.3483393318407,5.483556122448981,1800404352.0,0.936,56.4,6.0,1.0
1689538162,1012.7161799018672,5.482911764705883,1800457088.0,0.936,56.9,6.0,1.0
1689538163,1000.7545813845908,5.484215000000001,1800404352.0,0.936,56.9,6.0,1.0
1689538164,993.291793903414,5.484168367346938,1800457088.0,0.936,56.9,6.0,1.0
1689538165,1011.0772652129843,5.483744897959183,1800404352.0,0.936,57.4,6.0,1.0
1689538166,1001.407815143706,5.484196078431372,1800457088.0,0.936,56.4,6.0,1.0
