TIME,Main(mA),Main Voltage(V),FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1689522180,1000.6980244647416,5.482989795918368,1800457088.0,0.936,54.0,18.0,1.0
1689522181,980.6718896695186,5.482985000000001,1800457088.0,0.936,54.0,18.0,1.0
1689522182,1021.3084184300888,5.480882352941176,1800404352.0,0.936,53.0,19.0,1.0
1689522183,982.0135280967686,5.482647959183674,1800404352.0,0.936,54.0,19.0,1.0
1689522184,1003.5296176276393,5.483215,1800457088.0,0.936,53.5,20.0,1.0
1689522185,1000.8672576329554,5.483464285714288,1800457088.0,0.936,54.5,20.0,1.0
1689522186,1004.1216907333728,5.483338235294118,1800457088.0,0.936,54.5,21.0,1.0
1689522187,981.7670055241392,5.484300000000001,1800457088.0,0.936,54.5,21.0,1.0
1689522188,1016.378253631296,5.481653061224487,1800404352.0,0.936,53.5,22.0,1.0
1689522189,1013.4557852710916,5.482145000000002,1800457088.0,0.936,54.5,22.0,1.0
1689522190,977.2775486454016,5.484730392156862,1800404352.0,0.936,55.0,23.0,1.0
1689522191,1006.9404561674128,5.483081632653061,1800457088.0,0.936,56.0,23.0,1.0
1689522192,1000.2734507610965,5.48452,1800404352.0,0.936,55.0,24.0,1.0
1689522193,993.8413052820106,5.48282843137255,1800457088.0,0.936,54.5,24.0,1.0
1689522194,1003.3347312357928,5.483158163265306,1800457088.0,0.936,56.4,25.0,1.0
1689522195,1018.5878700045522,5.482510000000002,1800404352.0,0.936,55.0,25.0,1.0
1689522196,998.2724075721846,5.483415,1800457088.0,0.936,55.5,26.0,1.0
1689522197,999.1019859217928,5.483214285714286,1800457088.0,0.936,54.5,26.0,1.0
1689522198,997.6910056334968,5.48322549019608,1800404352.0,0.936,56.4,27.0,1.0
1689522199,999.977320793966,5.4821,1800404352.0,0.936,55.5,27.0,1.0
1689522200,990.4637378276484,5.48280612244898,1800404352.0,0.936,55.0,28.0,1.0
1689522201,1036.2409860981645,5.482411764705882,1800457088.0,0.936,56.0,28.0,1.0
1689522202,1041.7350350182812,5.482990000000001,1800457088.0,0.936,55.5,29.0,1.0
1689522203,1046.644912486879,5.484301020408164,1800457088.0,0.936,55.5,29.0,1.0
1689522204,1063.532863664825,5.482350000000001,1800457088.0,0.936,56.0,30.0,1.0
1689522205,991.7046398532176,5.484823529411764,1800404352.0,0.936,56.0,30.0,1.0
1689522206,998.1018675437844,5.4822091836734685,1800457088.0,0.936,56.0,31.0,1.0
1689522207,1022.8024541994746,5.4822500000000005,1800457088.0,0.936,56.0,31.0,1.0
1689522208,994.5845746624497,5.48287,1800457088.0,0.936,56.4,32.0,1.0
1689522209,993.7191859411096,5.484700000000001,1800457088.0,0.936,56.4,32.0,1.0
1689522210,986.6644109657718,5.4831650000000005,1800457088.0,0.936,56.4,0.0,-1.0
1689522211,1005.3330897987082,5.484059999999999,1800404352.0,0.936,56.4,33.0,1.0
1689522212,979.65172506821,5.484158163265305,1800404352.0,0.936,57.4,33.0,1.0
1689522213,993.2164924391572,5.48275980392157,1800457088.0,0.936,56.0,34.0,1.0
1689522214,997.9013251768135,5.482864999999997,1800457088.0,0.936,56.4,34.0,1.0
1689522215,1017.8725608933804,5.483229591836735,1800404352.0,0.936,57.4,35.0,1.0
1689522216,1000.117945460374,5.483469999999998,1800457088.0,0.936,57.4,35.0,1.0
1689522217,1005.4939859824684,5.48361274509804,1800457088.0,0.936,57.6,36.0,1.0
1689522218,991.2751710739022,5.481591836734694,1800457088.0,0.936,57.9,36.0,1.0
1689522219,998.0202866596904,5.483465,1800457088.0,0.936,57.4,37.0,1.0
1689522220,980.464932831562,5.484015000000002,1800404352.0,0.936,57.4,37.0,1.0
1689522221,987.5714958167648,5.484004901960784,1800404352.0,0.936,57.9,38.0,1.0
1689522222,1016.8715255820596,5.4819234693877545,1800404352.0,0.936,57.9,38.0,1.0
1689522223,978.8057420371468,5.483185000000002,1800404352.0,0.936,56.9,39.0,1.0
1689522224,1025.2799387303553,5.481800000000001,1800457088.0,0.936,56.4,39.0,1.0
1689522225,1030.3569042621475,5.480959183673471,1800457088.0,0.936,58.4,40.0,1.0
1689522226,1000.9949052903316,5.482745098039215,1800457088.0,0.936,57.9,40.0,1.0
1689522227,1028.306321083959,5.481130000000003,1800457088.0,0.936,57.9,41.0,1.0
1689522228,997.2470928714488,5.484117346938778,1800457088.0,0.936,58.4,41.0,1.0
1689522229,1027.7144616002863,5.480480392156864,1800457088.0,0.936,57.9,42.0,1.0
1689522230,1038.1973184143333,5.481445,1800457088.0,0.936,58.4,42.0,1.0
