TIME,Main(mA),Main Voltage(V),FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1689530127,1066.12311867708,5.484071428571427,1800457088.0,0.936,52.5,1.0,1.0
1689530128,1035.1767490264067,5.481779411764706,1800457088.0,0.936,52.1,1.0,1.0
1689530129,921.9115771679124,5.483034999999998,1800457088.0,0.936,53.0,1.0,1.0
1689530130,1032.9174786755243,5.482969387755103,1800457088.0,0.936,53.5,2.0,1.0
1689530131,1048.3038364262763,5.482534313725492,1800457088.0,0.936,54.0,2.0,1.0
1689530132,1041.9997050457469,5.482945,1800457088.0,0.936,53.0,2.0,1.0
1689530133,1057.5889579483303,5.481290816326531,1800430720.0,0.936,53.2,2.0,1.0
1689530134,1034.1697434299003,5.484305000000001,1800404352.0,0.936,53.5,2.0,1.0
1689530135,1062.4165297327454,5.481301020408164,1800404352.0,0.936,54.0,2.0,1.0
1689530136,1036.69237495418,5.483063725490196,1800457088.0,0.936,53.0,2.0,1.0
1689530137,1001.6542798350364,5.4852050000000006,1800457088.0,0.936,54.0,2.0,1.0
1689530138,1053.0291093580524,5.482955,1800457088.0,0.936,54.5,2.0,1.0
1689530139,1080.8543383812164,5.48157142857143,1800457088.0,0.936,54.0,2.0,1.0
1689530140,1033.2185454721205,5.483299019607844,1800457088.0,0.936,54.5,2.0,1.0
1689530141,1036.9287608786956,5.483030612244898,1800404352.0,0.936,55.5,2.0,1.0
1689530142,980.2522012257836,5.485910000000001,1800404352.0,0.936,55.0,2.0,1.0
1689530143,1045.3906277976916,5.482377450980393,1800457088.0,0.936,55.0,2.0,1.0
1689530144,1062.1980447009569,5.481960000000002,1800457088.0,0.936,54.5,2.0,1.0
1689530145,1043.0925505977823,5.482336734693877,1800404352.0,0.936,55.5,2.0,1.0
1689530146,1005.2904329453698,5.484945,1800404352.0,0.936,55.5,2.0,1.0
1689530147,1054.606354157909,5.482284313725489,1800404352.0,0.936,54.5,2.0,1.0
1689530148,1016.1431392521796,5.485346938775512,1800430720.0,0.936,55.0,2.0,1.0
1689530149,1083.4374126428318,5.482505,1800457088.0,0.936,55.5,2.0,1.0
1689530150,1069.0597662454963,5.485454999999999,1800404352.0,0.936,55.5,2.0,1.0
1689530151,1087.33476861367,5.484443877551019,1800404352.0,0.936,56.4,2.0,1.0
1689530152,1036.242888316808,5.484563725490196,1800457088.0,0.936,54.5,2.0,1.0
1689530153,1021.744534852596,5.4841750000000005,1800457088.0,0.936,55.0,2.0,1.0
1689530154,1003.3162417480244,5.485372448979592,1800404352.0,0.936,55.5,2.0,1.0
1689530155,1044.998262857621,5.484325000000001,1800457088.0,0.936,55.0,2.0,1.0
1689530156,1056.3017086709888,5.482357843137254,1800457088.0,0.936,56.4,2.0,1.0
1689530157,1035.9313552520418,5.483389999999999,1800457088.0,0.936,56.4,2.0,1.0
1689530158,1010.7685134842116,5.483566326530612,1800404352.0,0.936,56.4,2.0,1.0
1689530159,1074.9916736572657,5.481377450980392,1800404352.0,0.936,56.0,2.0,1.0
1689530160,1020.9425205425975,5.483704081632655,1800404352.0,0.936,56.4,2.0,1.0
1689530161,898.1507155196268,5.48634,1800404352.0,0.936,56.4,2.0,1.0
1689530162,1018.1847648201224,5.484635000000001,1800404352.0,0.936,55.5,3.0,1.0
1689530163,1024.1776292541963,5.484852941176471,1800457088.0,0.936,56.4,3.0,1.0
1689530164,1066.258943539689,5.482418367346938,1800457088.0,0.936,56.9,3.0,1.0
1689530165,1051.8997884220655,5.482265000000001,1800457088.0,0.936,56.0,3.0,1.0
1689530166,1066.1387833831932,5.4826122448979575,1800457088.0,0.936,56.4,3.0,1.0
1689530167,1020.2015415936132,5.484089999999998,1800457088.0,0.936,56.9,3.0,1.0
1689530168,1018.8627088692402,5.484519607843139,1800457088.0,0.936,55.5,3.0,1.0
1689530169,1025.806761812623,5.483630000000001,1800404352.0,0.936,56.4,3.0,1.0
1689530170,1024.1636947440952,5.484484693877551,1800404352.0,0.936,56.9,3.0,1.0
1689530171,1037.5561526540382,5.4831900000000005,1800404352.0,0.936,56.4,3.0,1.0
1689530172,1059.0891833940132,5.483460784313727,1800457088.0,0.936,56.4,3.0,1.0
1689530173,1058.5520230987383,5.482566326530613,1800457088.0,0.936,57.4,3.0,1.0
1689530174,1051.867892817511,5.482555,1800457088.0,0.936,56.4,3.0,1.0
1689530175,1026.784807663974,5.484475000000001,1800404352.0,0.936,57.4,3.0,1.0
1689530176,1036.2478493492856,5.483933673469388,1800404352.0,0.936,57.4,3.0,1.0
1689530177,1065.512726387588,5.482161764705881,1800404352.0,0.936,57.4,3.0,1.0
1689530178,999.4257164064716,5.48612,1800404352.0,0.936,57.4,3.0,1.0
1689530179,1035.4653141377837,5.482551020408163,1800457088.0,0.936,57.4,3.0,1.0
1689530180,1069.7705257659482,5.483435000000001,1800404352.0,0.936,57.9,3.0,1.0
1689530181,1016.5252150235934,5.4840882352941165,1800404352.0,0.936,57.4,3.0,1.0
1689530182,1066.678560314371,5.482698979591838,1800457088.0,0.936,57.9,3.0,1.0
1689530183,1097.3305386924458,5.480759999999999,1800457088.0,0.936,57.6,3.0,1.0
1689530184,1078.5582595103133,5.482838235294119,1800457088.0,0.936,57.4,3.0,1.0
1689530185,1029.167745925423,5.484938775510208,1800457088.0,0.936,58.9,3.0,1.0
1689530186,1080.6411682249766,5.481694999999999,1800457088.0,0.936,57.9,3.0,1.0
1689530187,1018.54954170047,5.484495098039217,1800457088.0,0.936,58.9,3.0,1.0
1689530188,1079.4606062953462,5.4799591836734685,1800404352.0,0.936,57.9,3.0,1.0
1689530189,1070.770848122536,5.481895000000001,1800404352.0,0.936,57.9,3.0,1.0
1689530190,1011.3325521813788,5.484690000000001,1800457088.0,0.936,58.4,3.0,1.0
1689530191,1047.6565645022245,5.482362244897959,1800404352.0,0.936,58.4,3.0,1.0
1689530192,1060.5801053650655,5.482053921568627,1800457088.0,0.936,57.4,3.0,1.0
1689530193,966.6427170855376,5.481554999999999,1800404352.0,0.936,57.9,3.0,1.0
1689530194,1076.995035897977,5.482096938775513,1800457088.0,0.936,57.4,4.0,1.0
1689530195,1053.2407040181463,5.484124999999999,1800457088.0,0.936,57.9,4.0,1.0
1689530196,1055.5316886673725,5.483627450980393,1800457088.0,0.936,58.4,4.0,1.0
1689530197,1039.2714207477245,5.48438775510204,1800457088.0,0.936,58.4,4.0,1.0
1689530198,1052.102913470403,5.48474,1800404352.0,0.936,58.9,4.0,1.0
1689530199,1035.0094719168972,5.483828431372549,1800457088.0,0.936,59.4,4.0,1.0
1689530200,1083.3241282593506,5.482448979591837,1800404352.0,0.936,58.9,4.0,1.0
1689530201,1044.8869833199408,5.483985000000001,1800430720.0,0.936,58.9,4.0,1.0
1689530202,1074.127462433526,5.484725,1800457088.0,0.936,58.9,4.0,1.0
1689530203,1114.897366103287,5.482459183673472,1800457088.0,0.936,59.4,4.0,1.0
1689530204,1142.2213724357898,5.480808823529413,1800457088.0,0.936,59.4,4.0,1.0
1689530205,1087.990181297383,5.481105000000001,1800457088.0,0.936,58.9,4.0,1.0
1689530206,1004.9416889001776,5.485306122448978,1800457088.0,0.936,59.4,4.0,1.0
1689530207,1018.4782690969148,5.484624999999999,1800404352.0,0.936,58.9,4.0,1.0
1689530208,1050.3222030812722,5.48419117647059,1800457088.0,0.936,58.9,4.0,1.0
1689530209,1016.5486194616012,5.485035714285714,1800457088.0,0.936,59.4,4.0,1.0
1689530210,1055.614693768104,5.483615000000001,1800457088.0,0.936,58.9,4.0,1.0
1689530211,1033.6086371759284,5.48401530612245,1800404352.0,0.936,58.9,4.0,1.0
1689530212,978.8329590275478,5.486799019607845,1800457088.0,0.936,58.9,4.0,1.0
1689530213,1033.477142121997,5.484575,1800457088.0,0.936,59.9,4.0,1.0
1689530214,1067.0323511606766,5.481489795918368,1800457088.0,0.936,59.4,4.0,1.0
1689530215,1058.4674998696516,5.482780000000002,1800457088.0,0.936,58.9,4.0,1.0
1689530216,1032.04393637861,5.483475490196079,1800457088.0,0.936,59.4,4.0,1.0
1689530217,1072.4628304391338,5.481561224489796,1800404352.0,0.936,59.9,4.0,1.0
1689530218,1058.201118056175,5.483810000000001,1800457088.0,0.936,60.3,4.0,1.0
1689530219,1020.2134483915274,5.483994999999998,1800457088.0,0.936,60.6,4.0,1.0
1689530220,1067.834986084842,5.4827040816326535,1800457088.0,0.936,60.8,4.0,1.0
1689530221,1032.990218420343,5.4859607843137255,1800404352.0,0.936,59.9,4.0,1.0
1689530222,1062.869176732978,5.484214999999999,1800404352.0,0.936,59.4,4.0,1.0
1689530223,1012.9743309884806,5.4844897959183685,1800457088.0,0.936,60.3,4.0,1.0
1689530224,1045.475104112014,5.484274509803922,1800457088.0,0.936,60.8,4.0,1.0
1689530225,958.0044701001766,5.483784999999999,1800457088.0,0.936,59.4,4.0,1.0
1689530226,1011.8629126417886,5.484918367346937,1800404352.0,0.936,59.9,5.0,1.0
1689530227,1070.2388011239534,5.480720000000002,1800457088.0,0.936,60.3,5.0,1.0
1689530228,1063.069999074154,5.482352941176469,1800457088.0,0.936,59.9,5.0,1.0
1689530229,1037.6081067771051,5.4841836734693885,1800404352.0,0.936,60.3,5.0,1.0
1689530230,1028.6302266026487,5.483805,1800404352.0,0.936,60.3,5.0,1.0
1689530231,1073.2209407797427,5.482990000000001,1800457088.0,0.936,59.9,5.0,1.0
1689530232,1079.061582298363,5.481815,1800404352.0,0.936,60.3,5.0,1.0
1689530233,1068.727095684661,5.482505,1800457088.0,0.936,60.3,5.0,1.0
1689530234,1069.5956399743864,5.482025000000002,1800457088.0,0.936,59.9,5.0,1.0
1689530235,1061.9727687810407,5.483454081632655,1800457088.0,0.936,60.3,5.0,1.0
1689530236,1038.383940040652,5.484377450980392,1800404352.0,0.936,61.3,5.0,1.0
1689530237,1093.0166576570869,5.4805150000000005,1800430720.0,0.936,61.3,5.0,1.0
1689530238,1033.9830418724723,5.484362244897958,1800457088.0,0.936,61.3,5.0,1.0
1689530239,1069.97584634721,5.482555,1800404352.0,0.936,60.8,5.0,1.0
1689530240,1107.511202178082,5.482308823529413,1800457088.0,0.936,60.8,5.0,1.0
1689530241,1052.4672083806984,5.482780612244898,1800457088.0,0.936,61.3,5.0,1.0
1689530242,1075.6807201358592,5.483800000000001,1800457088.0,0.936,60.8,5.0,1.0
1689530243,1065.7773550102338,5.481859999999999,1800457088.0,0.936,60.3,5.0,1.0
1689530244,1024.0471391125277,5.4852009803921575,1800457088.0,0.936,61.3,5.0,1.0
1689530245,1044.9548674902449,5.483984693877551,1800457088.0,0.936,60.8,5.0,1.0
1689530246,1027.5962679223635,5.48486,1800457088.0,0.936,61.3,5.0,1.0
1689530247,1053.9104474778496,5.483515000000001,1800457088.0,0.936,61.3,5.0,1.0
1689530248,1064.1396176231908,5.48236224489796,1800404352.0,0.936,61.3,5.0,1.0
1689530249,1024.1342479804955,5.483367647058824,1800457088.0,0.936,60.8,5.0,1.0
1689530250,1071.2075574201783,5.4825649999999975,1800457088.0,0.936,61.3,5.0,1.0
1689530251,1034.8603609338236,5.484061224489796,1800457088.0,0.936,61.3,5.0,1.0
1689530252,1091.729329393391,5.482640000000001,1800457088.0,0.936,60.8,5.0,1.0
1689530253,1090.3707627919057,5.482642156862746,1800430720.0,0.936,61.0,5.0,1.0
1689530254,1048.477476285962,5.484115000000002,1800404352.0,0.936,61.3,5.0,1.0
1689530255,1030.4057279101744,5.485173469387757,1800457088.0,0.936,61.8,5.0,1.0
1689530256,1046.2340874838817,5.482400000000001,1800404352.0,0.936,61.8,5.0,1.0
1689530257,957.1072521253188,5.484627450980393,1800457088.0,0.936,61.8,5.0,1.0
1689530258,1056.938466685068,5.481892857142858,1800457088.0,0.936,60.8,6.0,1.0
1689530259,1065.8067354847713,5.482410000000001,1800457088.0,0.936,60.8,6.0,1.0
1689530260,1032.2447744913763,5.4842,1800457088.0,0.936,61.3,6.0,1.0
1689530261,1056.73450364974,5.482569999999999,1800457088.0,0.936,61.3,6.0,1.0
1689530262,1062.7030432792235,5.483188775510203,1800457088.0,0.936,61.8,6.0,1.0
1689530263,1100.934845878623,5.482779411764707,1800404352.0,0.936,61.8,6.0,1.0
1689530264,1037.5649865670866,5.483955000000002,1800457088.0,0.936,61.3,6.0,1.0
1689530265,1092.2961711258563,5.483729591836733,1800457088.0,0.936,62.3,6.0,1.0
1689530266,1108.3715079271142,5.484445000000002,1800457088.0,0.936,61.8,6.0,1.0
1689530267,1087.7119025704724,5.485009803921568,1800457088.0,0.936,61.8,6.0,1.0
1689530268,1041.690760211092,5.484836734693877,1800457088.0,0.936,61.8,6.0,1.0
1689530269,1037.485430210764,5.484645,1800404352.0,0.936,61.8,6.0,1.0
1689530270,984.2938273475633,5.486529411764708,1800404352.0,0.936,62.3,6.0,1.0
1689530271,1069.6479504958088,5.4824285714285725,1800404352.0,0.936,62.8,6.0,1.0
1689530272,1082.654878064133,5.482245000000001,1800457088.0,0.936,61.8,6.0,1.0
1689530273,1062.42211481457,5.48118,1800404352.0,0.936,62.8,6.0,1.0
1689530274,1048.99615835409,5.483923469387756,1800457088.0,0.936,62.3,6.0,1.0
1689530275,1068.2202825426996,5.483308823529412,1800457088.0,0.936,61.8,6.0,1.0
1689530276,1041.5885642134467,5.48434,1800404352.0,0.936,62.3,6.0,1.0
1689530277,1091.8533219409974,5.482010204081635,1800457088.0,0.936,62.3,6.0,1.0
1689530278,1052.074685336707,5.482760000000001,1800457088.0,0.936,62.3,6.0,1.0
1689530279,1071.1372122952744,5.483171568627453,1800457088.0,0.936,62.3,6.0,1.0
1689530280,1067.74058377015,5.483065,1800404352.0,0.936,62.3,6.0,1.0
1689530281,1053.9625628678111,5.483132653061226,1800457088.0,0.936,62.8,6.0,1.0
1689530282,1066.9074222222316,5.482175,1800457088.0,0.936,62.8,6.0,1.0
1689530283,1025.8559368912458,5.485705882352943,1800457088.0,0.936,62.8,6.0,1.0
1689530284,1073.4564626978445,5.48225,1800457088.0,0.936,61.8,6.0,1.0
1689530285,1106.1951451501127,5.479655,1800457088.0,0.936,63.3,6.0,1.0
1689530286,1052.5061301220603,5.484490196078432,1800457088.0,0.936,62.8,6.0,1.0
1689530287,1060.6889113285706,5.4828724489795935,1800404352.0,0.936,62.3,6.0,1.0
1689530288,1060.5054827684023,5.482384999999998,1800430720.0,0.936,62.3,6.0,1.0
1689530289,974.0627221496818,5.483054999999999,1800457088.0,0.936,62.3,6.0,1.0
1689530290,1060.1232638561746,5.4829285714285705,1800404352.0,0.936,62.8,7.0,1.0
1689530291,1044.945893339711,5.483024509803923,1800404352.0,0.936,63.7,7.0,1.0
1689530292,1036.2845426310632,5.485344999999999,1800404352.0,0.936,62.8,7.0,1.0
1689530293,1057.5043396586696,5.483045918367346,1800404352.0,0.936,62.8,7.0,1.0
1689530294,1053.7306371588336,5.484019607843136,1800457088.0,0.936,62.8,7.0,1.0
1689530295,1064.733227671499,5.482668367346938,1800404352.0,0.936,63.7,7.0,1.0
1689530296,1056.5693287534548,5.484075000000001,1800457088.0,0.936,63.3,7.0,1.0
1689530297,1055.4879645241515,5.483205000000001,1800457088.0,0.936,62.8,7.0,1.0
1689530298,1070.0447803935836,5.483205882352941,1800457088.0,0.936,63.3,7.0,1.0
1689530299,1071.0288697178537,5.483046874999999,1800404352.0,0.936,63.3,7.0,1.0
1689530300,1091.6702048297404,5.482401960784312,1800457088.0,0.936,63.3,7.0,1.0
1689530301,1021.5342263006552,5.485010000000001,1800457088.0,0.936,63.3,7.0,1.0
1689530302,1070.1024879173133,5.482935,1800457088.0,0.936,62.8,7.0,1.0
1689530303,1114.744102496419,5.48098469387755,1800404352.0,0.936,62.8,7.0,1.0
1689530304,1081.0299704214174,5.483044117647059,1800430720.0,0.936,63.0,7.0,1.0
1689530305,1075.5286933365733,5.483185000000001,1800457088.0,0.936,63.3,7.0,1.0
1689530306,1086.2017539812468,5.48154081632653,1800457088.0,0.936,63.7,7.0,1.0
1689530307,1070.6803070350093,5.483900000000001,1800457088.0,0.936,62.8,7.0,1.0
1689530308,1068.428305464988,5.483622549019606,1800457088.0,0.936,63.3,7.0,1.0
1689530309,1067.6168072947685,5.484174999999998,1800457088.0,0.936,63.3,7.0,1.0
1689530310,1036.502256335276,5.484418367346938,1800404352.0,0.936,63.3,7.0,1.0
1689530311,1043.1192859310047,5.484325,1800457088.0,0.936,63.7,7.0,1.0
1689530312,1079.9128988960424,5.48141,1800457088.0,0.936,63.3,7.0,1.0
1689530313,1061.5493861051916,5.483594999999999,1800404352.0,0.936,63.7,7.0,1.0
1689530314,1074.046009708156,5.482590000000001,1800457088.0,0.936,63.7,7.0,1.0
1689530315,1074.6676098496248,5.482969999999999,1800457088.0,0.936,63.3,7.0,1.0
1689530316,1054.0829719944338,5.483480000000001,1800457088.0,0.936,63.3,7.0,1.0
1689530317,1056.079313923472,5.48386224489796,1800457088.0,0.936,64.2,7.0,1.0
1689530318,1039.0624298233477,5.485524509803922,1800404352.0,0.936,63.7,7.0,1.0
1689530319,1073.8247228022922,5.482055,1800404352.0,0.936,62.8,7.0,1.0
1689530320,1056.7732153239594,5.483984693877551,1800430720.0,0.936,63.5,7.0,1.0
1689530321,983.0863783758113,5.48292,1800457088.0,0.936,64.2,7.0,1.0
1689530322,1042.6969621221467,5.483504901960783,1800404352.0,0.936,64.7,8.0,1.0
1689530323,1070.808605479846,5.483117346938775,1800404352.0,0.936,64.2,8.0,1.0
1689530324,1058.4445662394244,5.4835400000000005,1800457088.0,0.936,63.3,8.0,1.0
1689530325,1076.2245958194171,5.482909999999997,1800457088.0,0.936,63.7,8.0,1.0
1689530326,1084.184675999598,5.483178571428572,1800404352.0,0.936,64.2,8.0,1.0
