round_start,round_end,total_energy,solar_harvested_energy,comm_energy,payload_energy,other_energy
2023-04-24 23:34:52,2023-04-25 01:10:10,26.71086359402777,32.978280463888886,2.920625555555555,0.0,23.790238038472214
2023-04-25 01:10:11,2023-04-25 02:36:16,23.637909380833335,33.23388638055556,2.372425277777778,0.0,21.265484103055556
2023-04-25 02:36:17,2023-04-25 04:10:55,32.05813131263889,23.365796924999998,4.1408983333333325,0.0,27.91723297930556
2023-04-25 04:10:56,2023-04-25 05:45:04,31.49620621430556,14.354088983333334,5.128882222222223,0.0,26.367323992083335
2023-04-25 05:45:05,2023-04-25 07:19:13,29.93765071263889,14.147867552777777,5.109066666666668,0.0,24.828584045972224
2023-04-25 07:19:14,2023-04-25 08:52:53,23.143906308333335,19.349546755555558,2.749895000000001,0.0,20.394011308333333
2023-04-25 08:52:54,2023-04-25 10:27:02,21.982958520694446,31.170529231944442,3.1848666666666676,0.0,18.798091854027778
2023-04-25 10:27:03,2023-04-25 12:01:14,25.12909525291667,35.8488591,3.264556666666666,0.0,21.864538586250003
2023-04-25 12:01:15,2023-04-25 13:35:23,25.405321198749995,28.548970663888888,2.2732744444444437,0.0,23.132046754305552
2023-04-25 13:35:24,2023-04-25 15:10:02,30.347011105277783,25.007007030555556,6.059832777777778,0.6925277777777774,23.59465054972223
2023-04-25 15:10:03,2023-04-25 16:44:11,30.396422561944444,14.529896908333331,5.038726111111112,0.0,25.35769645083333
2023-04-25 16:44:12,2023-04-25 18:18:20,30.261594336805558,14.21422496111111,4.963581666666667,0.0,25.298012670138892
2023-04-25 18:18:21,2023-04-25 19:52:29,29.546802033472225,14.154481063888888,4.964617222222223,0.0,24.582184811250002
2023-04-25 19:52:30,2023-04-25 21:26:29,21.506487881527775,24.594618955555553,2.6105038888888887,0.0,18.895983992638886
2023-04-25 21:26:30,2023-04-25 23:01:27,31.810023421805553,26.694968419444443,10.131021111111112,0.0,21.679002310694443
2023-04-25 23:01:28,2023-04-26 00:34:30,21.6935108175,36.781580625000004,0.9171733333333348,0.0,20.776337484166667
2023-04-26 00:34:31,2023-04-26 02:08:39,26.303287552638878,25.443431500000003,0.7756283333333336,0.0,25.527659219305544
2023-04-26 02:08:40,2023-04-26 03:43:15,28.92844034138889,21.65948853611111,3.0154699999999974,0.0,25.912970341388892
2023-04-26 03:43:16,2023-04-26 05:17:24,30.28479188930556,14.554818274999999,5.140029444444446,0.0,25.144762444861115
2023-04-26 05:17:25,2023-04-26 06:51:36,31.09370076569444,14.366516611111113,5.133382222222222,0.0,25.96031854347222
2023-04-26 06:51:37,2023-04-26 08:25:15,27.484480160833336,14.174836466666667,4.0271138888888895,0.0,23.457366271944444
2023-04-26 08:25:16,2023-04-26 09:59:24,19.566635930833336,37.608177802777774,0.7275033333333333,0.0,18.8391325975
2023-04-26 09:59:25,2023-04-26 11:33:36,26.140616586805557,26.925595355555554,0.7383108333333338,0.0,25.402305753472223
2023-04-26 11:33:37,2023-04-26 13:07:45,30.15751253694445,22.812256977777782,0.7318116666666671,4.8389999999999995,24.586700870277785
2023-04-26 13:07:46,2023-04-26 14:41:54,17.619187141250002,25.515684516666667,0.5393941666666674,4.329233333333333,12.750559641250002
2023-04-26 14:41:55,2023-04-26 16:16:33,31.362011792777775,17.683119202777778,4.278582222222223,0.0,27.083429570555552
2023-04-26 16:16:34,2023-04-26 17:50:42,30.278043520555556,14.420667399999997,4.963831111111112,0.0,25.314212409444444
2023-04-26 17:50:43,2023-04-26 19:24:52,30.191282819861115,14.20896296111111,5.044993888888889,0.0,25.146288930972226
2023-04-26 19:24:53,2023-04-26 20:58:31,22.345284994861117,21.41253828888889,2.477716666666666,0.0,19.86756832819445
2023-04-26 20:58:32,2023-04-26 22:33:10,26.50560390124999,35.73024824444444,0.8243583333333332,4.466399999999991,21.21484556791667
2023-04-26 22:33:11,2023-04-27 00:07:10,43.88483373361112,31.753104583333336,10.028506111111113,13.413333333333327,20.442994289166677
2023-04-27 00:07:11,2023-04-27 01:41:01,33.13095333333333,33.24874542777778,1.0219975000000012,13.452833333333345,18.65612249999998
2023-04-27 01:41:02,2023-04-27 03:15:37,35.44104967263888,27.072318302777777,1.6300466666666678,13.683599999999997,20.12740300597222
2023-04-27 03:15:38,2023-04-27 04:49:46,45.6728335161111,14.276270372222223,5.062928333333335,13.675333333333338,26.934571849444428
2023-04-27 04:49:47,2023-04-27 06:23:55,46.92019948569444,13.937155097222222,4.982997222222224,13.743599999999994,28.193602263472222
2023-04-27 06:23:56,2023-04-27 08:01:48,40.61726710430556,13.985900999999998,4.093482222222223,10.9313,25.59248488208334
2023-04-27 08:01:49,2023-04-27 09:31:45,20.562239116944447,32.34169325833333,0.7080700000000001,3.7326666666666637,16.121502450277784
2023-04-27 09:31:46,2023-04-27 11:05:57,34.05180682097222,37.68638404166667,5.937215000000001,10.06673333333333,18.047858487638884
2023-04-27 11:05:58,2023-04-27 12:40:06,20.448954238055556,37.93093890833333,2.8222666666666667,0.39106666666666634,17.23562090472222
2023-04-27 12:40:07,2023-04-27 14:14:15,28.13337262041668,20.288613674999997,7.042043333333336,0.0,21.091329287083344
2023-04-27 14:14:16,2023-04-27 15:48:54,28.11246831277778,21.572782858333333,5.496393888888889,0.0,22.61607442388889
2023-04-27 15:48:55,2023-04-27 17:23:03,30.278876201944446,14.325385783333333,4.963599444444445,0.0,25.3152767575
2023-04-27 17:23:04,2023-04-27 18:57:13,30.331045602361115,14.08382757361111,5.077709444444446,0.0,25.25333615791667
