TIME,Main(mA),Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688747217,729.4919861354687,11.962051020408165,40.0,12.8,38.0,0.0,0.0,46.0,0.0,18.0,1.0
1688747218,741.7938020403687,11.961465,40.0,12.8,35.0,0.0,0.0,33.0,4.0,19.0,1.0
1688747219,746.1829676132443,11.961905,40.0,12.8,36.5,0.0,0.0,40.0,2.5,19.0,1.0
1688747220,726.0915940020884,11.96112244897959,40.0,12.8,38.0,0.0,0.0,47.0,1.0,19.0,1.0
1688747221,748.877807248287,11.961151960784315,41.0,12.8,35.0,0.0,0.0,37.0,5.0,20.0,1.0
1688747222,721.5161603489498,11.96142,41.0,12.8,38.0,0.0,0.0,37.0,0.0,20.0,1.0
1688747223,746.5394914760323,11.96122959183674,41.0,12.8,35.0,0.0,0.0,41.0,4.0,21.0,1.0
1688747224,727.3342921219669,11.96179,40.0,12.8,37.0,0.0,0.0,42.0,0.0,21.0,1.0
1688747225,730.0625785053383,11.960602941176472,41.0,12.8,35.0,0.0,0.0,39.0,4.0,21.0,1.0
1688747226,736.9472137309712,11.96078,41.0,12.8,36.0,0.0,0.0,42.5,2.5,22.0,1.0
1688747227,724.2464938138387,11.960857142857146,41.0,12.8,37.0,0.0,0.0,46.0,1.0,22.0,1.0
1688747228,751.8995557285463,11.961455,41.0,12.8,35.0,0.0,0.0,34.0,4.0,23.0,1.0
1688747229,722.7136192514955,11.961260204081633,41.0,12.8,37.0,0.0,0.0,39.0,0.0,23.0,1.0
1688747230,745.1767567717834,11.960828431372551,41.0,12.8,35.0,0.0,0.0,45.0,5.0,24.0,1.0
1688747231,778.5384653845322,11.960325000000005,41.0,12.8,36.0,0.0,0.0,37.0,0.0,24.0,1.0
1688747232,735.3235399517404,11.961465000000002,41.0,12.8,35.0,0.0,0.0,43.0,3.0,24.0,1.0
1688747233,738.5057526449141,11.961413265306122,41.0,12.8,36.0,0.0,0.0,42.0,1.5,25.0,1.0
1688747234,725.2400923654383,11.961000000000006,41.0,12.8,37.0,0.0,0.0,41.0,0.0,25.0,1.0
1688747235,741.9085135006223,11.960795918367348,41.0,12.8,35.0,0.0,0.0,38.0,3.0,26.0,1.0
1688747236,739.4746751192047,11.960504999999998,41.0,12.8,37.0,0.0,1.0,48.0,0.0,26.0,1.0
1688747237,741.9720697498595,11.960725,41.0,12.8,35.0,0.0,0.0,47.0,4.0,27.0,1.0
1688747238,735.2907593073647,11.962198979591836,41.0,12.8,36.0,0.0,0.0,36.0,0.0,27.0,1.0
1688747239,735.0074723583866,11.961230392156867,41.0,12.8,35.0,0.0,0.0,46.0,2.0,27.0,1.0
1688747240,757.1691225141889,11.961239795918369,42.0,12.8,35.0,0.0,1.0,37.0,1.0,28.0,1.0
1688747241,725.5048348834287,11.961180000000006,42.0,12.8,36.0,0.0,0.0,42.0,2.0,28.0,1.0
1688747242,751.380585258493,11.961313725490196,42.0,12.8,35.0,0.0,1.0,45.0,0.0,29.0,1.0
1688747243,732.043989229758,11.962801020408165,42.0,12.8,35.5,0.0,0.5,40.0,0.5,29.0,1.0
1688747244,745.8488765506112,11.960959999999998,42.0,12.8,36.0,0.0,0.0,35.0,1.0,30.0,1.0
1688747245,729.8981367946842,11.961329999999998,42.0,12.8,35.0,0.0,0.0,48.0,0.0,30.0,1.0
1688747246,739.7884543399476,11.96069387755102,42.0,12.8,37.0,0.0,0.0,36.0,0.0,30.0,1.0
1688747247,737.0724679759503,11.960960784313723,42.0,12.8,35.0,0.0,1.0,33.0,1.0,31.0,1.0
